depth,dose,ssd,field_size
19.434049,34.24587968,100,10
19.45906,34.19242697,100,10
19.484072,34.13897498,100,10
19.509083,34.08552349,100,10
19.534095,34.03451106,100,10
19.559107,33.98396132,100,10
19.584118,33.93341109,100,10
19.60913,33.88286013,100,10
19.634142,33.83230868,100,10
19.659153,33.78175674,100,10
19.684165,33.73120406,100,10
19.709177,33.68065065,100,10
19.734188,33.63009675,100,10
19.7592,33.57954236,100,10
19.784212,33.52789269,100,10
19.809223,33.47604104,100,10
19.834235,33.42418964,100,10
19.859247,33.37233799,100,10
19.884258,33.32048658,100,10
19.90927,33.26863518,100,10
19.934281,33.21678353,100,10
19.959293,33.16493213,100,10
19.984305,33.11308048,100,10
20.009316,33.06122884,100,10
20.034328,33.01172151,100,10
20.05934,32.96263207,100,10
20.084351,32.91354264,100,10
20.109363,32.8644532,100,10
20.134375,32.81536377,100,10
20.159386,32.76627433,100,10
20.184398,32.7171849,100,10
20.20941,32.66809546,100,10
20.234421,32.61900603,100,10
20.259433,32.56991659,100,10
20.284444,32.5197823,100,10
20.309456,32.46946783,100,10
20.334468,32.41915335,100,10
20.359479,32.36883888,100,10
20.384491,32.31852441,100,10
20.409503,32.26820993,100,10
20.434514,32.2178957,100,10
20.459526,32.16758123,100,10
20.484538,32.11726676,100,10
20.509549,32.06695228,100,10
20.534561,32.01931605,100,10
20.559573,31.97212611,100,10
20.584584,31.92493568,100,10
20.609596,31.87774452,100,10
20.634608,31.83055286,100,10
20.659619,31.78336072,100,10
20.684631,31.73616784,100,10
20.709642,31.68897448,100,10
20.734654,31.64178038,100,10
20.759666,31.59458578,100,10
20.784677,31.54623666,100,10
20.809689,31.49770221,100,10
20.834701,31.44916826,100,10
20.859712,31.40063503,100,10
20.884724,31.3521023,100,10
20.909736,31.3035703,100,10
20.934747,31.25503879,100,10
20.959759,31.20650778,100,10
20.984771,31.15797749,100,10
21.009782,31.10944794,100,10
21.034794,31.06335598,100,10
21.059805,31.01764348,100,10
21.084817,30.97193098,100,10
21.109829,30.92621848,100,10
21.13484,30.88050623,100,10
21.159852,30.83479373,100,10
21.184864,30.78908123,100,10
21.209875,30.74336873,100,10
21.234887,30.69765623,100,10
21.259899,30.65194397,100,10
21.28491,30.60516287,100,10
21.309922,30.55822117,100,10
21.334934,30.51127971,100,10
21.359945,30.46433826,100,10
21.384957,30.4173968,100,10
21.409969,30.37045535,100,10
21.43498,30.32351365,100,10
21.459992,30.27657219,100,10
21.485003,30.22963074,100,10
21.510015,30.18268928,100,10
21.535027,30.13816118,100,10
21.560038,30.09398243,100,10
21.58505,30.04980343,100,10
21.610062,30.00562468,100,10
21.635073,29.96144568,100,10
21.660085,29.91726692,100,10
21.685097,29.87308793,100,10
21.710108,29.82890917,100,10
21.73512,29.78473017,100,10
21.760132,29.74055142,100,10
21.785143,29.69502473,100,10
21.810155,29.64931076,100,10
21.835167,29.60359655,100,10
21.860178,29.55788234,100,10
21.88519,29.51216812,100,10
21.910201,29.46645416,100,10
21.935213,29.42073994,100,10
21.960225,29.37502573,100,10
21.985236,29.32931151,100,10
22.010248,29.2835973,100,10
22.03526,29.24062498,100,10
22.060271,29.1980189,100,10
22.085283,29.15541233,100,10
22.110295,29.11280502,100,10
22.135306,29.07019723,100,10
22.160318,29.0275887,100,10
22.18533,28.98497968,100,10
22.210341,28.94236992,100,10
22.235353,28.89975968,100,10
22.260364,28.8571487,100,10
22.285376,28.81284118,100,10
22.310388,28.76831601,100,10
22.335399,28.72379159,100,10
22.360411,28.67926789,100,10
22.385423,28.63474469,100,10
22.410434,28.59022222,100,10
22.435446,28.54570024,100,10
22.460458,28.50117875,100,10
22.485469,28.456658,100,10
22.510481,28.41213797,100,10
22.535493,28.36986435,100,10
22.560504,28.32786711,100,10
22.585516,28.28586914,100,10
22.610528,28.24387068,100,10
22.635539,28.20187149,100,10
22.660551,28.15987156,100,10
22.685562,28.11787139,100,10
22.710574,28.07587024,100,10
22.735586,28.03386884,100,10
22.760597,27.99186671,100,10
22.785609,27.94898424,100,10
22.810621,27.9059987,100,10
22.835632,27.86301389,100,10
22.860644,27.82002958,100,10
22.885656,27.77704599,100,10
22.910667,27.7340629,100,10
22.935679,27.6910803,100,10
22.960691,27.64809843,100,10
22.985702,27.6051173,100,10
23.010714,27.56213665,100,10
23.035725,27.52141269,100,10
23.060737,27.48094283,100,10
23.085749,27.440472,100,10
23.11076,27.40000092,100,10
23.135772,27.35952911,100,10
23.160784,27.31905656,100,10
23.185795,27.27858353,100,10
23.210807,27.23811,100,10
23.235819,27.19763574,100,10
23.26083,27.15716075,100,10
